num_registro,nombre,estado,formulado,titular,composicion,cultivo,agente,dosis_min,dosis_max,unidad_dosis,plazo_seguridad,volumen_caldo,fecha_caducidad
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Pinos,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Pinos,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Pinos,"Oídios, Erysiphaceae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Arbustos y pequeños árboles ornamentales,"Oídios, Erysiphaceae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Arbustos y pequeños árboles ornamentales,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Olivo,"Negrilla, fumagina, Capnodium elaeophilum",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1333 l/haUso no profesional: 5-13 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Plantaciones tropicales y subtropicales,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1143 l/haUso no profesional: 5-11,43 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Plantaciones tropicales y subtropicales,"Oídios, Erysiphaceae",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1143 l/haUso no profesional: 5-11,43 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Plantaciones tropicales y subtropicales,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1143 l/haUso no profesional: 5-11,43 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Frutales de hueso,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1200 l/haUso no profesional: 5-12 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Frutales de hueso,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1200 l/haUso no profesional: 5-12 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Frutales de hueso,Podosphaera spp.,0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1200 l/haUso no profesional: 5-12 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Frutales de pepita,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1200 l/haUso no profesional: 5-12 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Frutales de pepita,"Oídio del manzano, Podosphaera leucotricha",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1200 l/haUso no profesional: 5-12 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Frutales de pepita,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,"Uso profesional: 500-1200 l/haUso no profesional: 5-12 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Almendro,"Ácaros eriófidos, Eriophyidae",0.5,1.0,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Almendro,"Oídio del rosal, Podosphaera pannosa",0.5,1.0,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Almendro,"Araña roja común, Tetranychus spp.",0.5,1.0,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Avellano,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Avellano,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Avellano,"Oídio del avellano, Phyllactinia guttata",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Nogal,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Nogal,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Nogal,"Oídio, Microsphaera penicillata",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Pistachero,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Pistachero,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Pistachero,"Oídios, Erysiphaceae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Castaño,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Castaño,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Castaño,"Oídio, Microsphaera penicillata",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Pacano, nuez de pecán","Oídios, Erysiphaceae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Pacano, nuez de pecán","Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Pacano, nuez de pecán","Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Vid,"Ácaros eriófidos, Eriophyidae",0.25,0.8,%,NO PROCEDE,"Uso profesional: 500-1500 l/haUso no profesional: 5-15 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Vid,"Araña roja común, Tetranychus spp.",0.25,0.8,%,NO PROCEDE,"Uso profesional: 500-1500 l/haUso no profesional: 5-15 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Vid,"Oídio de la vid, Erysiphe necator",0.25,0.8,%,NO PROCEDE,"Uso profesional: 500-1500 l/haUso no profesional: 5-15 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Higuera,"Oídios, Erysiphaceae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Higuera,"Ácaros eriófidos, Eriophyidae",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Higuera,"Araña roja común, Tetranychus spp.",0.25,0.7,%,NO PROCEDE,Uso profesional: 500-1200 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Cereales de invierno / primavera,"Oídio de los cereales, Blumeria graminis",0.25,0.6,%,NO PROCEDE,"Uso profesional: 600-833 l/haUso no profesional: 6 – 8,33 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba para grano,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba para grano,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba para grano,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía para grano,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía para grano,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía para grano,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante para grano,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante para grano,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante para grano,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía forrajera,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía forrajera,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía forrajera,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba forrajera,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba forrajera,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba forrajera,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante proteaginoso /forrajero,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante proteaginoso /forrajero,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante proteaginoso /forrajero,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Remolacha azucarera,"Oídio de la remolacha, Erysiphe betae",0.25,1.25,%,NO PROCEDE,"Uso profesional: 600-1000 l/haUso no profesional: 6-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Raíces y tubérculos (excepto remolacha azucarera y patata),"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Raíces y tubérculos (excepto remolacha azucarera y patata),"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Raíces y tubérculos (excepto remolacha azucarera y patata),"Oídios, Erysiphaceae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Remolacha forrajera,"Oídio de la remolacha, Erysiphe betae",0.25,1.25,%,NO PROCEDE,"Uso profesional: 600-1000 l/haUso no profesional: 6-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Remolacha de mesa,"Oídio de la remolacha, Erysiphe betae",0.25,1.25,%,NO PROCEDE,"Uso profesional: 600-1000 l/haUso no profesional: 6-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Bulbos hortícolas,"Oídios, Erysiphaceae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Bulbos hortícolas,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Bulbos hortícolas,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Tomate,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Tomate,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Tomate,"Oídio del tomate, Oidium neolycopersici ",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Berenjena,"Oídio del tomate, Oidium neolycopersici ",0.25,0.75,%,NO PROCEDE,Uso profesional: 500-1000 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Berenjena,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,Uso profesional: 500-1000 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Berenjena,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,Uso profesional: 500-1000 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Cucurbitáceas,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1.000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Cucurbitáceas,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1.000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Cucurbitáceas,"Oídio, Golovinomyces cichoracearum",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1.000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Hortalizas del género Brassica,"Araña roja común, Tetranychus spp.",0.25,0.6,%,NO PROCEDE,"Uso profesional y pulverización normal con tractor: 500-666 l/haUso profesional y pulverización manual con mochila y lanza/pistola: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Hortalizas del género Brassica,"Ácaros eriófidos, Eriophyidae",0.25,0.6,%,NO PROCEDE,"Uso profesional y pulverización normal con tractor: 500-666 l/haUso profesional y pulverización manual con mochila y lanza/pistola: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Hortalizas del género Brassica,"Oídio de las crucíferas, Erysiphe cruciferarum",0.25,0.6,%,NO PROCEDE,"Uso profesional y pulverización normal con tractor: 500-666 l/haUso profesional y pulverización manual con mochila y lanza/pistola: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Berro, mastuerzo","Ácaros eriófidos, Eriophyidae",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Berro, mastuerzo","Araña roja común, Tetranychus spp.",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Berro, mastuerzo","Oídio, Golovinomyces cichoracearum",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Brotes tiernos, incluidas las especies de Brassica","Oídio, Golovinomyces cichoracearum",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Brotes tiernos, incluidas las especies de Brassica","Araña roja común, Tetranychus spp.",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,"Brotes tiernos, incluidas las especies de Brassica","Ácaros eriófidos, Eriophyidae",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Canónigo,"Ácaros eriófidos, Eriophyidae",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Canónigo,"Araña roja común, Tetranychus spp.",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Canónigo,"Oídio, Golovinomyces cichoracearum",0.25,0.6,%,NO PROCEDE,500-666 l/ha,2027/07/31
